R_AtSha16G	R_AtSha17G	R_AtSha18G	AtSha3G	Bulk1G	Bulk2G	Bulk3G	Bulk16G	Bulk17G	Bulk18G	AtLer17G	AtLer18G	AtSha16G	AtLer16G	AtSha17G	AtSha18G	AtLer4G	AtLer5G	AtLer6G	Bulk4G	Bulk5G	Bulk6G	R_AtLer5G	R_AtLer6G	AtLer34G	AtLer36G	AtSha34G	AtSha36G	R_AtLer34G	R_AtLer35G
OTU197	1	2	2	0	0	0	0	2	0	2	4	2	42	12	10	19	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU957	0	1	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU95	0	1	2	0	2	0	3	0	0	0	45	0	10	6	1	0	0	0	1	1	2	0	2	5	0	0	245	0	2	1
OTU586	0	2	1	0	1	10	0	1	1	1	0	0	15	0	0	8	1	0	0	1	13	0	0	0	0	0	1	0	0	1
OTU1121	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1177	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU818	0	1	1	0	0	0	0	5	1	1	0	0	0	1	6	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0
OTU128	0	2	1	1	2	3	7	92	4	17	15	15	15	9	47	5	0	0	2	1	3	0	1	12	0	2	2	5	16	0
OTU445	0	1	3	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU125	0	1	1	0	0	3	0	15	1	3	0	4	16	29	18	1	3	0	9	7	4	9	0	3	1	2	2	2	6	1
OTU720	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU929	0	2	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU68	0	1	0	33	0	0	0	4	2	3	102	86	182	77	284	47	20	42	191	2	1	1	0	4	82	146	31	56	3	1
OTU667	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0
OTU718	0	1	0	0	0	2	0	0	1	0	1	0	0	0	1	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU301	0	1	1	0	0	0	0	12	0	1	0	2	3	0	25	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0
OTU642	0	2	3	0	0	1	1	0	0	0	1	5	1	0	4	0	0	0	0	0	1	5	1	0	0	0	0	0	1	1
OTU1012	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
OTU717	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0
OTU601	0	2	0	0	0	0	0	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU116	0	1	0	0	1	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	104	0	0	0	1	1
OTU1272	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU180	0	1	2	1	3	0	1	109	8	18	0	0	5	5	25	1	10	0	2	1	5	0	2	3	0	0	2	0	3	1
OTU653	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU768	0	0	4	0	0	2	1	0	0	1	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0
OTU345	0	0	6	0	0	4	6	5	3	0	6	2	3	8	18	2	0	0	0	1	1	0	0	0	0	0	1	0	4	0
OTU676	0	0	1	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU684	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0
OTU28	0	0	19	288	0	0	0	1	0	0	130	681	89	30	128	464	21	15	2	0	0	0	0	0	33	1	32	24	0	0
OTU490	0	0	3	0	0	4	0	0	0	0	6	0	0	2	0	4	0	0	0	2	7	0	0	0	2	0	0	0	0	0
OTU288	0	0	2	0	0	0	0	16	0	6	0	0	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4	0
OTU740	0	0	1	45	0	3	0	0	0	0	22	124	41	3	26	120	1	0	0	0	4	0	0	0	0	0	5	0	4	0
OTU1021	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU925	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
OTU279	0	0	9	16	0	0	0	0	0	0	291	911	206	220	515	3312	5	0	1	0	0	0	0	1	281	0	66	7	0	2
